QCODEID,MCODE,LCODE,RID,FIELDNAME,FROM_DATE,TO_DATE,DATETYPE,QCODE,CONTINUING,SITECODE,DESCRIPTION
7339,MA,1,,RAIN,16-Dec-2009,22-Dec-2009,R,4830,N,T06,Rain Gauge had snow present in funnel.
7340,MA,1,,,22-Dec-2009,22-Dec-2009,D,4831,N,T06,"10:00 to 11:00 : found wind vane and anemometer frozen up,  unfrozen by holding. Looking at data freezing took place sometime after 01:00."
7169,MA,1,,RAIN,22-Dec-2009,23-Dec-2009,R,4762,N,T06,"23-DEC-2009 13:00 - Emptied rain gauge of snow into a pre-weighed collection bottle, brought back to lab and weighed. Calculated amount of rainfall using equation : weight of water (g) (1g H2O = 1cm3 H2O) / cross-sectional area (pi x r x r) (cm3) = cm of rain water x10 = mm of rain water, giving value of 7.8.  No snow or rain has fallen today or yesterday (22/12/2009) since last recorded measure."
7341,MA,1,,,01-Jul-2009,31-Dec-2009,R,4642,N,T06,At various times the wet bulb reading is higher than the dry bulb; probable cause wet bulb wick frozen.
7342,MA,1,,,06-Jan-2010,06-Jan-2010,D,4832,N,T06,13:00  - measured snow trapped in rain gauge funnel as 7.9mm
7343,MA,1,,,08-Jan-2010,08-Feb-2010,R,4833,N,T06,09:00 - measured snow trapped in rain gauge funnel as 0.1mm.  Otherwise snow thawed or melted on contact with funnel.
7344,MA,1,,,12-Apr-2010,12-Apr-2010,D,3639,N,T06,Changed wet bulb wick
7334,MA,1,,,01-Jan-2010,30-Apr-2010,R,4642,N,T06,At various times the wet bulb reading is higher than the dry bulb; probable cause wet bulb wick frozen.
7694,MA,1,,WETTMP,14-Jun-2010,14-Jun-2010,D,3639,N,T06,Changed wet bulb wick
7828,MA,1,,NETRAD,31-Aug-2010,02-Sep-2010,R,4945,N,T06,"31-AUG-2010 09:00 to 11:00 -  found upper dome of net-radiometer damaged and lower dome full of water.  Replaced both domes and changed silica gel.
02-SEP-2010 10:00 to 11:00 -   checked on domes following replacement. Quite heavy condensation on inside of domes. Removed domes wiped dry with tissue and replaced. Checked silica gel which was okay."
133,MA,1,,NETRAD,03-May-1994,03-May-1994,D,3145,N,T07,Net Radiometer values above range maximum of 700
134,MA,1,,NETRAD,19-Jun-1994,19-Jun-1994,D,3145,N,T07,Net Radiometer values above range maximum of 700
135,MA,1,,NETRAD,26-Jul-1994,26-Jul-1994,D,3145,N,T07,Net Radiometer values above range maximum of 700
136,MA,1,,ALBGRD,01-Nov-1993,01-Mar-1995,R,3146,Y,T07,Albedometer-ground - values look strange - range is only 54 to 84! Needs investigation
525,MA,1,,NETRAD,23-Jan-1997,23-Jan-1997,D,3394,N,T07,Silica gel changed.
526,MA,1,,WETTMP,26-Feb-1997,26-Feb-1997,D,3395,N,T07,Wet bulb probe replaced.
527,MA,1,,NETRAD,19-Mar-1997,19-Mar-1997,D,3396,N,T07,Net radiometer domes changed.
639,MA,1,,SWATER_T,06-Aug-1997,06-Aug-1997,D,3469,N,T07,Theta-probe installed and operating
528,MA,1,,WETTMP,05-Sep-1997,05-Sep-1997,D,3397,N,T07,Wet bulb sensor changed as suspect values logged during August.
728,MA,1,,WETTMP,01-Aug-1997,05-Sep-1997,R,3528,N,T07,Wet bulb readings suspect.
766,MA,1,,SWATER,16-Jul-1999,16-Jul-1999,D,3547,N,T07,SWATER 16/7/99 03:00 to 06:00 have been removed. Values showed a huge jump accompanied with odd battery voltages suggesting some sort of short. Other data seemed unaffected and the instruments have been ok since but Gordon thought it best to remove data.
775,MA,1,,SWATER,16-Jul-1999,16-Jul-1999,,3554,,T07,Records for soil moisture for July 16 (300 - 600) have been removed. Values showed a huge jump accompanied with very odd battery voltage output suggesting some sort of short.  Other data seemed unaffected and the instrument has been ok since.
